@relation pendigits-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P40.0-V

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,75,8,100,40,91,28,59,7,31,13,8,56,5,100,0,2
38,73,62,100,87,75,67,39,31,9,0,10,50,20,100,0,2
0,96,47,100,71,70,67,35,58,0,100,1,74,17,19,18,7
20,100,0,61,10,16,58,0,100,26,98,71,56,99,7,89,0
64,53,100,79,62,100,0,84,29,68,93,57,87,28,60,0,9
0,45,26,66,62,84,100,100,80,75,57,50,36,25,18,0,1
30,91,72,60,91,96,47,100,95,75,100,19,52,0,0,1,9
0,89,56,100,77,77,29,54,50,48,100,27,60,5,0,0,3
1,66,28,93,81,100,72,75,82,43,100,12,54,0,0,2,3
40,100,27,71,65,89,13,90,60,62,100,30,62,0,0,1,9
99,100,66,100,18,94,30,57,86,49,100,15,48,0,0,12,5
36,65,49,100,73,71,58,33,27,1,0,1,50,6,100,0,2
39,60,64,100,96,84,69,41,25,12,0,15,50,0,100,4,2
36,69,56,100,79,82,60,47,29,17,0,0,50,4,100,12,2
46,85,42,100,52,73,32,41,0,16,21,7,62,0,100,17,2
25,91,61,100,74,75,44,55,94,43,100,16,53,0,0,6,3
0,100,64,95,100,88,72,50,47,11,19,0,18,30,84,27,7
34,91,8,49,26,2,72,0,100,42,86,93,42,100,0,75,0
100,100,48,84,15,53,1,19,47,0,100,24,60,39,0,19,6
0,79,26,54,70,25,26,0,10,33,0,70,30,100,100,95,5
28,71,68,100,61,63,29,91,82,81,100,34,57,0,0,17,9
26,91,0,59,33,44,53,10,15,0,22,51,39,95,100,100,5
0,71,44,85,85,100,100,96,95,71,88,46,86,21,85,0,1
6,100,32,98,66,71,62,34,41,0,0,27,39,41,100,46,7
0,95,50,100,100,86,90,49,66,15,49,0,23,32,76,41,7
98,74,82,100,6,85,10,60,87,75,100,47,69,17,0,0,9
96,100,51,76,17,50,0,20,41,0,100,16,73,39,4,33,6
19,100,0,73,9,46,72,47,100,61,82,69,75,34,60,0,4
52,80,30,66,96,70,65,100,28,62,100,69,80,20,0,0,9
2,85,29,100,37,71,23,41,0,15,17,0,58,2,100,8,2
39,100,29,92,0,58,2,34,61,37,100,60,82,36,78,0,4
88,68,59,100,14,83,58,66,88,63,100,23,58,0,0,6,9
12,66,51,92,100,100,74,70,36,42,0,15,35,0,100,9,2
86,86,44,64,0,69,39,95,95,100,100,65,73,31,57,0,9
2,97,55,100,67,65,41,25,17,0,0,43,45,46,100,32,7
37,78,60,100,81,75,63,46,29,24,0,1,50,0,100,4,2
0,95,43,100,100,92,85,70,48,32,54,0,93,35,50,38,7
6,90,0,52,38,29,8,0,2,34,13,78,52,96,100,100,5
13,87,41,62,93,44,78,0,28,15,0,62,39,92,100,100,5
0,79,21,100,31,68,22,34,7,2,34,0,69,8,100,11,2
35,80,0,46,6,2,57,0,95,33,100,79,59,100,30,66,0
0,93,46,100,76,80,70,40,66,0,44,15,51,41,100,39,7
93,69,79,100,18,84,57,60,94,73,100,34,70,1,0,0,9
51,100,23,74,7,34,35,0,99,6,100,34,34,31,0,1,6
56,97,20,100,49,79,64,97,95,61,100,18,53,0,0,10,9
77,96,29,90,66,73,66,100,100,64,93,19,49,0,0,20,9
87,67,66,100,0,79,49,45,100,10,40,0,37,40,81,78,8
32,74,8,39,27,0,73,11,100,48,82,89,37,100,0,74,0
0,90,22,100,39,59,37,11,31,0,21,32,60,35,100,39,7
42,98,89,100,73,72,59,52,100,32,88,3,41,0,0,19,3
25,75,85,100,49,72,18,40,0,7,51,0,100,28,49,29,6
7,80,21,100,34,72,18,41,0,12,30,1,65,0,100,2,2
43,84,74,100,100,87,70,64,94,38,78,11,39,0,0,1,3
92,93,73,92,12,100,0,70,49,50,100,27,65,0,5,7,5
75,100,23,96,31,75,82,82,100,65,91,27,50,4,0,0,9
8,94,40,66,95,100,26,100,88,85,100,50,81,1,0,0,9
45,100,53,65,100,98,22,98,45,71,85,69,81,13,0,0,9
0,82,38,100,71,79,40,51,59,41,100,20,64,0,9,5,3
62,91,79,64,90,100,56,78,97,64,100,21,51,0,0,16,9
0,75,39,97,95,100,100,70,65,42,23,18,12,0,69,1,2
83,63,77,55,100,15,35,0,23,38,70,73,63,100,0,78,8
47,73,61,100,100,83,79,52,96,38,90,6,43,0,0,17,3
39,96,63,100,52,43,28,0,0,4,33,15,66,0,100,0,2
0,85,39,100,83,99,87,71,60,44,32,17,55,0,100,1,2
100,67,76,100,27,83,54,61,86,71,95,29,55,2,0,0,9
100,75,62,62,54,95,93,100,98,63,81,28,46,0,0,1,9
95,83,17,87,51,48,92,10,0,0,25,37,100,69,94,100,8
0,56,34,68,69,83,100,100,97,75,87,50,78,24,76,0,1
16,76,2,44,16,0,84,12,100,57,75,100,9,88,0,44,0
76,85,88,70,27,68,0,100,62,99,100,66,90,25,40,0,9
0,90,28,96,86,100,100,97,71,75,55,49,44,23,42,0,7
47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
50,92,100,100,53,92,22,60,48,65,80,40,51,8,0,0,5
81,100,30,80,2,52,0,21,45,0,100,11,72,35,21,19,6
0,67,42,81,94,100,100,86,77,64,61,42,45,21,52,0,1
50,100,17,76,0,49,0,22,37,0,100,6,93,29,31,20,6
19,69,14,18,45,0,83,27,100,73,67,100,24,86,0,47,0
0,33,44,52,77,76,100,100,83,73,73,47,65,20,54,0,1
0,66,15,99,58,100,64,66,43,32,11,5,50,0,100,5,2
3,51,38,84,99,100,100,63,57,33,0,10,12,0,82,1,2
43,95,20,65,45,25,9,0,0,27,20,71,55,91,100,100,5
24,90,76,71,65,100,30,72,93,72,100,33,61,0,0,18,9
23,80,14,80,77,100,100,70,66,39,0,19,23,12,97,0,2
34,92,16,51,39,9,84,0,100,43,79,85,35,100,0,70,0
94,93,6,100,17,69,100,43,79,0,0,17,17,63,88,95,8
0,85,34,100,68,86,61,55,31,31,20,9,61,4,100,0,2
20,79,30,100,100,99,66,71,45,59,97,40,70,11,0,0,3
0,68,26,100,48,75,28,33,0,2,29,0,64,2,100,1,2
96,100,77,91,33,58,10,19,67,0,100,31,60,62,0,37,6
12,96,75,100,100,69,74,35,47,0,23,13,0,43,98,44,7
56,100,17,71,0,31,28,0,80,16,100,56,80,93,28,89,0
25,85,54,100,78,77,61,48,100,35,80,10,36,0,0,16,3
73,89,16,89,0,100,57,99,96,81,100,53,86,27,73,0,9
8,95,97,100,43,94,2,69,47,64,100,38,72,0,0,19,5
22,100,1,52,63,67,62,21,0,0,4,59,28,96,100,97,5
0,33,66,60,100,100,48,78,84,37,52,0,30,32,85,68,8
81,100,6,97,38,62,100,30,58,0,0,22,42,61,96,96,8
100,100,55,86,18,60,0,28,26,0,79,14,63,42,10,41,6
4,61,18,100,58,88,43,43,5,13,0,17,48,0,100,1,2
71,93,87,63,94,100,47,74,100,72,98,40,67,3,0,0,9
18,100,0,76,20,46,75,56,100,90,69,68,43,34,19,0,4
42,100,13,73,0,42,52,35,100,48,92,56,92,25,97,0,4
25,97,37,70,100,88,27,100,0,80,76,65,75,31,29,0,9
0,79,26,100,55,76,37,31,16,0,11,40,55,52,100,62,7
69,100,37,70,0,41,21,32,91,30,100,56,93,33,84,0,4
61,100,18,82,0,41,15,0,72,8,100,47,100,90,50,82,0
24,76,0,48,25,2,83,0,100,50,82,100,28,84,8,34,0
16,100,9,74,0,33,23,0,77,13,100,50,70,80,15,74,0
42,100,18,67,0,34,2,0,67,8,97,39,100,73,43,88,0
3,71,0,95,45,100,100,99,79,78,48,53,31,24,54,0,7
89,100,56,85,0,62,44,50,100,54,82,77,52,38,20,0,4
0,93,33,100,43,51,35,0,3,22,12,48,55,59,100,64,7
100,78,64,100,0,75,57,37,46,0,24,31,82,68,100,98,8
41,81,63,100,82,75,52,47,100,46,98,17,46,0,0,9,3
43,91,79,100,63,67,34,38,0,14,11,13,56,9,100,0,2
47,74,68,100,100,88,74,60,62,34,96,18,52,0,0,4,3
44,100,16,79,0,53,20,33,61,32,100,37,85,28,81,0,4
100,98,66,100,38,98,32,73,59,60,48,37,24,19,0,0,5
10,88,0,72,25,97,90,100,100,89,81,56,71,22,59,0,7
0,96,64,100,96,70,81,33,52,0,19,19,35,49,100,56,7
14,40,19,0,58,11,85,42,100,81,70,100,30,86,0,59,0
14,83,0,74,8,94,62,100,100,97,75,63,61,26,56,0,7
42,81,7,65,0,20,45,0,89,32,100,76,55,100,7,73,0
0,98,20,100,19,70,11,40,43,27,89,42,94,29,100,0,4
22,79,78,63,100,100,20,96,74,76,100,49,87,6,0,0,9
0,93,58,100,97,74,73,41,41,9,27,0,19,27,100,33,7
74,62,100,100,32,99,23,62,88,84,90,54,68,11,0,0,9
0,41,25,63,60,81,95,100,100,83,88,55,76,27,67,0,1
48,88,28,58,34,9,0,0,25,42,66,77,100,100,49,78,8
12,72,75,91,100,100,56,80,19,60,6,40,0,20,0,0,1
0,84,3,73,30,98,100,100,90,79,73,48,61,16,59,0,7
13,71,38,100,63,82,38,47,0,21,8,20,54,0,100,14,2
46,75,44,100,79,90,56,44,19,6,0,6,50,10,100,0,2
100,69,78,100,37,85,83,77,91,52,97,15,51,0,0,0,9
87,86,46,100,17,70,75,75,100,80,94,39,58,6,0,0,9
1,91,11,49,72,47,53,0,13,12,0,68,36,97,100,100,5
68,100,42,75,0,52,44,50,100,66,86,46,51,20,41,0,4
36,70,68,100,67,89,57,49,36,13,0,0,50,5,100,8,1
0,51,51,75,90,100,56,92,46,66,51,40,77,15,100,0,1
0,69,38,86,62,100,52,53,57,5,100,3,51,3,11,0,1
100,100,59,78,23,53,1,23,27,0,77,10,54,34,0,36,6
30,85,0,47,9,5,66,0,100,36,100,79,56,100,39,60,0
0,75,20,97,53,100,71,77,49,46,35,14,66,2,100,0,2
38,92,11,62,0,27,27,0,75,6,100,36,88,71,59,100,0
96,71,52,46,31,73,72,100,100,71,86,33,52,1,0,0,9
100,53,95,92,46,100,11,69,0,26,34,0,76,25,88,62,0
0,100,10,86,14,67,32,50,71,51,82,37,89,18,100,0,4
21,85,8,46,61,47,39,0,0,13,11,66,35,98,100,100,5
30,83,64,100,100,85,64,63,98,41,98,14,48,0,0,10,3
11,85,0,46,12,5,53,0,88,25,100,68,73,100,34,92,0
70,100,45,91,11,60,0,23,42,0,100,4,86,32,31,27,6
49,100,26,83,0,39,63,43,100,54,74,95,62,47,57,0,4
100,96,2,100,0,65,61,32,37,0,19,32,68,68,64,96,8
0,94,62,100,92,71,80,34,52,0,21,23,34,48,100,51,7
46,92,77,100,100,97,56,90,50,55,81,33,41,12,0,0,5
81,72,58,100,0,81,43,57,82,76,100,37,87,0,17,1,9
20,100,6,54,59,38,49,0,11,4,0,48,41,79,100,93,5
0,93,53,100,83,84,68,43,55,0,30,22,45,46,100,51,7
14,96,87,100,21,96,22,58,70,65,100,28,54,0,0,17,5
12,64,57,46,46,0,0,3,44,41,100,74,90,100,25,79,8
26,88,0,49,9,5,61,0,100,30,94,73,52,100,4,83,0
25,81,45,100,54,72,33,41,0,16,15,6,61,0,100,20,2
33,87,68,100,87,79,71,53,100,31,86,7,43,0,0,1,3
47,96,35,62,44,18,5,0,0,29,18,71,56,91,100,100,5
9,45,30,10,65,0,95,30,100,72,72,100,32,88,0,61,0
1,76,0,42,16,0,65,2,100,35,95,79,50,100,3,84,0
0,85,24,100,49,90,38,56,24,24,37,0,69,4,100,14,2
0,52,38,60,72,78,100,100,96,81,84,54,74,27,73,0,1
16,67,0,27,33,0,77,21,100,60,91,100,40,99,0,73,0
4,76,0,33,34,0,84,17,100,61,72,100,25,90,14,45,0
0,61,7,11,49,0,87,28,100,78,62,100,25,72,16,20,0
39,69,55,100,96,81,80,43,45,10,0,0,44,15,100,3,2
56,100,15,74,0,39,58,48,100,78,86,69,58,35,30,0,4
70,97,28,78,65,53,57,9,0,0,13,42,51,86,100,100,5
0,73,30,100,68,87,56,51,25,22,2,2,51,4,100,0,2
49,49,100,79,54,100,8,68,35,27,0,0,6,35,71,63,8
13,72,1,33,27,0,75,10,100,44,88,83,43,100,0,82,0
9,41,73,80,0,100,28,56,92,16,35,0,22,42,100,74,8
78,72,60,100,24,68,69,32,57,0,0,29,36,67,100,98,8
12,71,0,26,48,0,97,36,100,82,42,100,4,60,5,15,0
20,100,34,93,0,53,4,38,88,50,100,72,99,30,96,0,4
56,76,66,100,0,88,23,60,90,71,100,68,87,31,92,0,9
8,67,51,37,22,0,9,24,53,58,100,92,59,100,0,74,8
16,87,66,100,86,81,48,57,77,46,100,21,60,0,0,2,3
0,79,25,100,49,80,27,48,0,19,24,1,62,0,100,2,2
100,100,57,97,26,73,2,44,0,12,37,0,58,25,15,31,6
36,83,66,100,94,81,60,54,100,44,92,12,44,0,0,17,3
18,68,0,21,44,0,89,22,100,75,58,100,11,81,1,31,0
27,100,28,96,0,64,3,37,88,43,100,68,94,33,100,0,4
100,92,46,100,11,78,37,56,86,43,81,0,28,5,0,41,5
11,65,34,100,66,77,42,38,4,8,0,2,50,7,100,0,2
27,83,50,100,77,84,36,62,69,42,100,17,55,0,0,3,3
0,67,48,99,71,100,74,56,75,10,9,0,19,0,100,3,1
54,89,100,100,68,98,25,71,68,66,81,29,46,0,0,11,5
77,82,55,100,45,76,91,81,100,47,90,14,46,0,0,10,9
54,96,23,63,0,30,15,0,74,19,99,51,100,87,47,100,0
25,98,0,64,83,72,79,22,12,0,9,51,8,95,100,100,5
0,0,35,8,69,31,93,62,100,100,69,100,57,64,64,26,9
100,76,41,59,25,82,80,100,89,64,90,27,59,0,0,16,9
0,71,52,100,100,75,53,37,13,0,82,7,34,44,16,83,8
0,81,33,100,52,79,36,49,12,22,7,0,53,4,100,7,2
30,100,10,85,0,66,0,48,27,34,65,28,96,18,100,0,4
72,100,1,75,0,42,100,38,99,66,65,83,61,42,64,0,4
0,63,58,85,100,100,78,74,67,46,64,19,0,0,3,3,1
100,97,49,100,11,82,10,51,54,52,76,29,47,5,0,0,5
12,83,50,100,85,67,63,23,16,0,0,18,52,18,100,1,2
96,66,62,100,32,69,74,62,89,56,100,10,50,0,0,10,9
17,92,55,100,69,71,38,50,0,38,23,25,61,13,100,0,2
100,89,41,100,23,69,54,35,38,0,0,11,25,47,60,81,8
5,81,45,100,71,77,48,38,16,6,0,3,50,8,100,0,2
40,100,16,81,0,59,22,40,81,47,100,44,79,22,67,0,4
100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,6
38,100,37,81,12,55,0,28,52,27,100,42,86,26,65,0,4
44,100,8,62,0,14,50,0,99,31,100,78,45,90,11,49,0
16,78,66,100,100,75,46,39,0,0,66,4,24,45,23,85,8
32,100,0,70,9,39,68,37,100,59,86,67,82,33,91,0,4
100,100,46,90,57,55,91,23,46,0,0,17,35,50,85,75,8
84,74,74,100,32,74,58,34,49,0,0,8,48,37,100,62,8
0,46,45,56,85,75,100,100,98,71,93,42,80,14,80,0,1
22,67,30,100,65,72,54,31,12,5,0,12,54,0,100,13,2
78,100,41,82,14,52,0,19,42,0,100,12,91,38,29,38,6
11,23,44,0,87,15,100,50,83,84,41,100,0,80,2,46,0
55,66,51,100,86,87,63,42,25,9,0,4,50,8,100,0,2
87,80,54,100,24,68,61,34,37,0,0,19,52,48,100,80,8
0,82,39,100,80,95,66,51,56,6,40,0,55,28,100,29,7
0,75,60,100,69,89,66,51,73,13,13,2,35,0,100,3,1
44,82,42,51,100,77,47,100,0,81,74,69,54,35,36,0,9
0,81,43,80,100,100,86,86,57,65,36,43,21,21,18,0,1
40,99,5,63,46,41,9,0,0,34,1,86,37,100,100,96,5
37,90,73,100,100,90,64,72,83,45,83,16,43,3,0,0,3
12,14,56,48,100,84,53,100,32,65,80,30,62,0,0,17,8
89,83,59,100,41,63,59,23,20,0,0,29,49,54,100,73,8
50,100,17,86,0,58,53,46,100,70,79,55,53,27,36,0,4
0,90,1,77,32,100,88,99,100,91,77,59,65,24,62,0,7
39,76,68,100,49,61,40,21,19,0,0,4,50,6,100,5,1
33,100,0,76,45,78,67,86,86,57,100,26,80,0,29,3,9
35,98,60,100,47,63,25,30,0,4,34,2,68,0,100,3,2
71,99,55,100,0,72,29,56,100,70,73,66,35,33,6,0,4
36,100,0,55,7,0,61,25,100,76,61,100,37,69,24,44,0
35,100,0,88,58,44,55,0,30,39,100,73,94,97,28,84,8
38,100,10,67,0,28,26,0,73,13,100,45,76,77,29,88,0
0,34,35,55,68,78,100,100,92,79,75,53,62,27,61,0,1
0,71,38,95,47,100,49,49,39,4,2,1,53,1,100,0,1
13,85,52,100,63,74,57,55,100,49,81,18,40,0,0,7,3
15,90,57,100,82,85,60,62,100,47,86,23,44,8,0,0,3
0,98,45,100,70,95,57,48,55,0,23,25,50,34,100,38,7
0,95,52,100,71,86,63,42,62,0,27,33,48,50,100,53,7
67,100,35,79,17,48,24,15,70,0,100,21,45,21,0,3,6
57,100,100,100,53,91,22,66,67,48,91,20,50,0,0,8,5
78,100,43,92,0,73,14,54,83,55,100,43,63,22,29,0,4
26,93,17,75,65,46,44,0,0,18,21,70,42,98,100,100,5
11,87,14,61,58,36,24,0,0,28,9,77,41,100,100,94,5
100,74,51,73,0,79,23,100,72,95,100,66,100,32,85,0,9
31,100,32,94,1,56,0,13,53,0,100,21,56,37,5,18,6
45,86,32,66,93,87,12,100,80,79,100,46,88,13,0,0,9
9,65,43,98,52,100,49,60,60,21,0,0,12,4,100,6,1
80,80,31,75,43,100,75,75,89,39,100,4,53,0,0,3,9
21,84,41,100,77,79,34,53,80,54,100,21,52,0,0,14,3
24,88,71,100,85,77,53,53,83,37,100,14,52,0,0,5,3
100,100,51,96,10,82,7,63,57,61,71,35,44,9,0,0,5
0,63,23,93,78,100,89,69,54,41,11,16,41,4,100,0,2
48,100,20,88,0,72,4,54,21,39,52,28,79,15,100,0,4
48,100,35,83,7,51,0,18,47,0,100,19,67,42,9,26,6
0,100,53,99,66,67,59,33,53,0,36,18,38,42,100,42,7
42,95,0,64,48,42,21,0,0,18,5,72,42,100,100,98,5
92,100,61,85,31,57,10,29,21,0,100,7,69,27,0,13,6
52,92,91,100,100,74,77,48,41,27,0,9,35,1,89,0,2
46,65,81,100,70,82,60,28,24,0,0,0,50,3,100,9,1
0,62,32,73,69,91,100,100,80,75,59,51,39,26,27,0,1
0,82,42,100,73,100,63,58,52,16,19,8,50,3,100,0,1
0,96,59,100,100,74,95,36,75,0,97,7,97,28,34,30,7
36,66,71,100,62,70,48,23,21,0,0,5,50,8,100,10,1
100,100,77,81,48,56,23,30,25,3,81,0,58,22,0,28,6
0,94,61,100,96,73,79,36,68,0,100,32,88,54,17,52,7
2,100,12,84,0,57,29,37,82,48,100,52,76,27,62,0,4
17,94,97,100,45,94,20,67,47,73,100,42,68,0,0,16,5
23,64,39,100,42,93,41,54,41,15,0,0,49,2,100,1,1
0,64,31,79,72,100,100,98,87,74,74,49,72,24,82,0,1
69,90,33,100,63,76,70,98,100,61,98,16,51,0,0,10,9
100,100,67,77,44,53,31,26,38,0,88,4,44,15,0,4,6
15,100,0,68,6,23,41,0,80,5,100,42,80,80,42,94,0
16,89,13,41,65,35,26,0,0,29,2,83,53,100,100,96,5
0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
36,78,75,100,77,82,61,34,39,0,0,8,50,8,100,7,1
36,90,79,100,100,98,50,88,32,59,76,37,47,5,0,0,5
0,89,59,100,100,74,68,36,27,0,53,1,95,28,15,34,7
65,100,0,96,24,75,79,93,91,68,100,31,69,0,2,1,9
0,67,45,80,100,100,50,85,32,64,23,42,18,21,14,0,1
30,90,100,100,65,93,0,76,37,61,100,42,78,12,8,0,5
48,100,89,100,76,77,69,56,100,35,89,11,45,0,0,8,3
0,90,32,100,48,77,34,52,12,30,12,8,56,4,100,0,2
0,39,42,52,76,74,100,100,92,87,82,58,71,29,68,0,1
94,75,55,100,0,78,17,45,76,62,100,78,92,36,84,0,9
2,100,96,97,76,67,65,33,59,0,35,9,0,37,100,37,7
93,100,49,75,69,37,62,0,0,2,38,38,100,69,67,87,8
8,73,25,100,53,71,40,35,2,11,0,1,50,1,100,0,2
54,100,28,76,5,51,0,28,66,27,100,49,82,25,69,0,4
47,100,36,69,0,34,50,28,100,43,98,81,89,41,84,0,4
52,80,84,100,100,75,58,53,91,48,89,10,44,0,0,16,3
18,95,22,59,73,44,44,0,11,31,0,85,51,100,100,99,5
97,100,45,84,0,62,2,46,48,41,100,45,58,23,21,0,4
0,5,18,35,47,63,76,88,100,100,79,68,60,35,58,0,1
0,28,35,51,67,75,100,100,96,81,77,54,58,27,46,0,1
71,81,2,86,65,45,100,0,0,2,20,50,87,91,38,100,8
60,100,36,67,0,39,46,48,99,58,100,62,77,29,52,0,4
0,30,38,51,69,76,100,100,87,80,66,54,50,27,41,0,1
47,100,0,72,0,38,82,30,100,65,87,95,77,47,62,0,4
59,94,71,100,100,82,75,62,63,40,75,14,40,1,0,0,3
33,95,4,69,0,27,39,0,88,16,100,56,69,89,17,100,0
13,97,54,100,82,64,65,18,41,0,0,27,48,38,100,40,7
100,82,29,97,14,62,60,22,0,0,27,39,99,72,77,100,8
88,81,51,100,11,79,60,69,100,69,95,24,53,0,0,1,9
12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2
72,94,25,100,26,71,25,36,72,44,100,18,55,0,0,2,5
12,80,48,100,83,73,22,55,71,45,100,15,40,0,0,17,3
8,83,69,100,100,69,82,34,51,0,15,22,0,37,89,39,7
100,98,61,100,41,90,28,61,59,61,57,40,29,19,0,0,5
62,100,0,57,94,71,34,93,26,47,13,0,100,37,8,39,8
42,94,89,100,71,76,68,56,100,34,84,8,37,0,0,15,3
23,72,0,35,16,0,69,8,100,40,93,78,49,100,14,75,0
100,100,60,84,29,57,11,26,35,0,83,12,53,37,0,31,6
100,93,73,100,43,98,34,66,50,50,61,34,31,17,0,0,5
23,93,1,59,16,19,64,0,100,29,94,72,52,100,0,90,0
8,96,55,100,62,67,42,30,25,0,0,36,41,49,100,50,7
40,81,5,60,8,2,62,0,100,44,92,99,38,100,0,55,0
19,76,34,100,41,66,27,32,0,7,25,3,63,0,100,6,2
100,100,100,87,55,68,5,50,45,38,68,41,29,21,0,0,4
78,100,36,78,6,40,13,0,71,1,100,35,43,28,0,3,6
0,90,50,100,100,94,84,52,62,13,42,0,40,40,92,44,7
38,95,53,100,19,80,0,59,61,65,100,89,75,47,49,0,4
79,75,41,100,3,75,54,59,79,61,100,20,54,0,0,14,9
100,100,77,90,29,69,0,45,69,36,92,50,73,24,48,0,4
0,92,46,100,82,76,70,38,50,0,31,10,48,34,100,36,7
100,100,47,88,18,55,16,18,57,0,95,29,51,38,0,16,6
93,100,48,89,12,59,0,25,43,0,100,18,61,43,0,29,6
50,93,4,100,38,58,100,17,25,0,0,43,54,87,6,89,8
18,84,6,71,67,37,38,0,0,27,51,64,100,100,17,79,8
2,88,37,76,87,100,0,93,48,81,95,70,87,34,100,0,9
0,75,33,100,66,77,68,40,60,5,51,0,48,30,100,33,7
88,100,30,79,5,54,0,28,25,3,100,0,92,25,15,26,6
0,70,11,100,34,88,26,55,15,23,28,0,66,7,100,19,2
46,100,19,78,0,43,85,40,100,58,68,75,58,38,60,0,4
0,34,25,52,62,76,100,100,81,79,57,53,37,27,25,0,1
1,64,29,100,34,79,28,32,0,1,8,0,54,2,100,2,1
38,100,40,90,0,63,36,46,93,47,100,59,63,31,40,0,4
100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6
100,100,76,97,44,70,16,40,0,6,34,0,43,31,9,32,6
22,100,0,68,2,42,54,46,100,55,72,75,51,38,37,0,4
28,94,99,100,69,95,22,70,51,53,100,27,67,0,0,9,5
32,63,76,31,50,0,0,14,50,44,100,73,78,100,24,75,8
31,76,62,100,89,82,61,52,24,26,0,10,50,7,100,0,2
90,94,13,95,26,56,96,27,52,0,0,26,45,64,100,100,8
13,78,77,78,74,100,0,89,49,78,99,71,91,35,100,0,9
77,97,13,85,62,41,100,0,24,11,48,63,72,100,0,76,8
19,74,43,100,70,80,53,53,100,42,98,12,50,0,0,4,3
0,96,40,100,60,66,58,27,41,0,20,35,54,42,100,46,7
0,90,31,100,74,82,68,39,46,0,36,6,49,41,100,54,7
12,83,89,77,80,100,0,84,62,74,100,73,83,36,75,0,9
0,36,39,49,72,74,100,100,97,87,84,58,71,28,73,0,1
18,81,27,54,59,19,18,0,0,35,6,83,51,100,100,100,5
0,95,26,100,43,75,34,43,21,15,42,0,71,0,100,1,2
100,100,58,85,23,59,0,30,9,0,58,5,60,34,7,25,6
0,78,0,97,50,99,100,100,90,81,64,56,42,29,27,0,7
89,76,40,100,9,61,100,29,91,0,0,25,64,63,91,100,8
4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
2,85,0,58,45,34,24,0,7,28,1,69,44,93,100,100,5
38,79,69,100,88,80,61,56,87,38,100,13,53,0,0,2,3
9,81,5,24,54,0,99,38,100,94,48,100,8,56,0,4,0
100,100,72,86,52,71,34,57,17,43,7,29,0,14,0,0,1
30,83,8,43,19,3,71,0,100,36,87,78,39,100,0,73,0
4,88,0,43,25,4,70,0,100,35,94,79,53,100,8,86,0
80,100,30,86,5,55,1,21,49,0,100,22,55,35,0,15,6
70,100,35,59,96,65,56,93,67,71,100,53,66,3,0,0,9
25,98,64,100,72,67,53,33,30,0,0,16,37,30,100,33,7
